Course Control Number (CB00),Course Code (CB01),Course Subject* (CB01),Course Number* (CB01),Course Title* (CB02) (updated=blue),Course Description,Department*,TOP Code,OLDTOP Code (CB03),Course Credit Status (CB04),Course Transfer Status (CB05),Course Units of Credit Maximum (CB06),Course Units of Credit Minimum (CB07),Course Basic Skills Status (CB08),SAM Priority Code (CB09),Cooperative Work Experience Education Status (CB10),Course Classification Code (CB11),Course Repeatability (CB12),Course Special Class Status (CB13),Course Can Code (CB14),Course Can Seq Code (CB15),Course Crosswalk Crs Dept Name (CB19),Course Crosswalk Crs Number (CB20),Course Prior to College Level (CB21),Course Non-Credit Category (CB22),Funding Agency Category (CB23),Course Program Status (CB24),Curriculum Id*,,
CCC000587422,BIOL30,BIOL,30,Cadaver Anatomy,"BIOL 30 - Cadaver Anatomy, 2 units Enrollment limited to: Successful completion of BIO 10 with a B or better and recommendation of the Human Anatomy Instructor  Prerequisite(s): Successful completion of BIOL 10 with a B or better and recommendation of the Human Anatomy Instructor.  Instructor consent required.   18 Lecture Hours, 54 Laboratory Hours, 36 Out-of-Class Hours = 108 Total Student Learning Hours  An introduction to the study of human cadaver dissection using a regional anatomy approach exposing structures of the integument, muscular, skeletal, cardiovascular, respiratory, digestive, urinary, reproductive, nervous, endocrine, and lymphatic systems. The class is intended to help prepare students entering health professions or kinesiology. Not repeatable. Transfer: (CSU)",BIO,0410.00,041000,D,B,2,2,N,E,N,Y,,N,NULL,NULL,CBIOL,30,Y,Y,Y,2,CBIOL-30,,
CCC000255470,BIOL39,BIOL,39,Field Biology,"BIOL 39 - Field Biology, 1 to 2 units 1 Unit: 18 Lecture Hours, 36 Out-of-Class Hours = 54 Total Student Learning Hours 2 Units: 36 Lecture Hours, 72 Out-of-Class Hours = 108 Total Student Learning Hours  A lecture field course in biology to be held in natural surroundings. The study site will vary with the seasons. Natural history, ecology, and biology of the locale will be studied. Field trips required. Not repeatable. Transfer: (CSU)",BIO,0401.00,040100,D,B,2,1,N,E,N,Y,,N,NULL,NULL,CBIOL,39,Y,Y,Y,1,CBIOL-39,,
CCC000291461,BIOL4,BIOL,4,Principles of Evolution and Zoology,"BIOL 4 - Principles of Evolution and Zoology,	 4 units Formerly listed as: BIOL 4 - Principles of Animal Biology Prerequisite(s): MATH 104 Recommended for Success: ENGL 151 or eligibility for ENGL 1A 54 Lecture Hours, 54 Laboratory Hours, 108 Out-of-Class Hours = 216 Total Student Learning Hours  As part of the Biology Majors sequence, students explore the diversity of the animal kingdom and non-photosynthetic single celled eukaryotic taxa. Core concepts of the course include mechanisms of evolution, comparative anatomy physiology and behavior among animal phyla, and life cycles. Students will also deepen their understanding of the nature of science and practice scientific reasoning skills. Field trips may be required. Not repeatable. MJC equivalent: (ZOOL 101) Transfer: (CSU/UC) (CSU-GE: B2, B3) (IGETC: 5B, 5C) C-ID: (BIOL 150)  (BIOL 4 + BIOL 6 = C-ID BIOL 140)  (BIOL 2 + BIO L4 + BIOL 6 = C-ID BIOL 135S)",BIO,0401.00,040100,D,A,4,4,N,E,N,Y,,N,BIOL 150,NULL,CBIOL,4,Y,Y,Y,1,CBIOL-4,,
CCC000536259,BIOL40,BIOL,40,Field Biology: Ecosystems,"BIOL 40 - Field Biology: Ecosystems,	1 unit 18 Lecture Hours, 36 Out-of-Class Hours = 54 Total Student Learning Hours  A lecture field course in biology to be held in natural surroundings. The course will emphasize ecosystem level processes. Included will be the effects of climate change, and other regional human disturbances on ecosystem processes. Field trips required. Not repeatable. Transfer: (CSU)",BIO,0401.00,040100,D,B,1,1,N,E,N,Y,,N,NULL,NULL,CBIOL,40,Y,Y,Y,1,CBIOL-40,,
CCC000322947,BIOL50,BIOL,50,Nutrition,"BIOL 50 - Nutrition, 3 units 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  Introductory study of energy and nutrient requirements of the body in relation to growth, maintenance, and reproduction; factors influencing normal metabolism, construction of the adequate diet. Emphasis is placed upon the chemical aspects of nutrition. Not repeatable. Transfer: (CSU/UC) (CSU-GE: E) C-ID: (NUTR 110)",BIO,0401.00,040100,D,A,3,3,N,E,N,Y,,N,NUTR 110,NULL,CBIOL,50,Y,Y,Y,1,CBIOL-50,,
CCC000159382,BIOL6,BIOL,6,Plant Biology and Ecology,"BIOL 6 - Plant Biology And Ecology, 4 units Formerly listed as: BIOL 6 - Principles of Plant Biology Prerequisite(s): MATH 104 54 Lecture Hours, 54 Laboratory Hours, 108 Out-of-Class Hours = 216 Total Student Learning Hours  Covers photosynthesis, algae, protists, fungi, comparative plant structures and function, homeostasis, development, evolution, phylogeny, and taxonomy of plants. Principles of population and community ecology and ecosystem interactions are emphasized. Field trips may be required. Not repeatable. MJC equivalent: (BOT 101) Transfer: (CSU/UC) (CSU-GE: B2, B3) (IGETC: 5B, 5C) C-ID: (BIOL 155)  (BIOL 4 + BIOL 6 = C-ID BIOL 140) (BIOL 2 + BIOL 4 + BIOL 6= C-ID BIOL 135S)",BIO,0401.00,040100,D,A,4,4,N,E,N,Y,,N,BIOL 155,NULL,CBIOL,6,Y,Y,Y,1,CBIOL-6,,
CCC000251748,BIOL60,BIOL,60,Human Physiology,"BIOL 60 - Human Physiology, 4 units Prerequisite(s): MATH 104, ENGL 151 Recommended for Success: BIOL 17, BIOL 10, CHEM 14, and CHEM 14L 54 Lecture Hours, 54 Laboratory Hours, 108 Out-of-Class Hours = 216 Total Student Learning Hours  Study of the physiological principles, function, integration and homeostasis of the human body at the cellular, tissue, organ, organ system and organism level: integumentary system, bone, skeletal, smooth and cardiac muscles, nervous system, sensory organs, cardiovascular system, lymphatic and immune systems, respiratory system, urinary system, digestive system, endocrine system, and reproductive system. This course is primarily intended for Nursing, Allied Health, Kinesiology, and other health related majors. Not repeatable. MJC equivalent: (PHYSO 101) Transfer: (CSU/UC) (CSU-GE: B2, B3) (IGETC: 5B, 5C) C-ID: (BIOL 120B)",BIO,0401.00,040100,D,A,4,4,N,E,N,Y,,N,BIOL 120B,NULL,CBIOL,60,Y,Y,Y,1,CBIOL-60,,
CCC000083327,BIOL65,BIOL,65,Microbiology,"BIOL 65 - Microbiology, 4 units Recommended for Success: BIOL 17, and CHEM 14, and CHEM 14L 54 Lecture Hours, 54 Laboratory Hours, 108 Out-of-Class Hours = 216 Total Student Learning Hours  Morphology, physiology, genetics, cultivation and control of micro-organisms, particularly bacteria and viruses. Principles of immunology and the relationship of microbes to disease are included. Not repeatable. MJC equivalent: (MICRO 101) Transfer: (CSU/UC) (CSU-GE: B2, B3) (IGETC: 5B, 5C)",BIO,0401.00,040100,D,A,4,4,N,E,N,Y,,N,NULL,NULL,CBIOL,65,Y,Y,Y,1,CBIOL-65,,
CCC000578415,BIOL99,BIOL,99,Independent Study in Biology,"BIOL 99 - Independent Study in Biology, 	 0.5 to 3 units  0.5 Unit: 9 Lecture Hours, 18 Out-of-Class Hours = 27 Total Student Learning Hours 1 Unit: 18 Lecture Hours, 36 Out-of-Class Hours = 54 Total Student Learning Hours 1.5 Units: 27 Lecture Hours, 54 Out-of-Class Hours = 81 Total Student Learning Hours 2 Units: 36 Lecture Hours, 72 Out-of-Class Hours = 108 Total Student Learning Hours 2.5 Units: 45 Lecture Hours, 90 Out-of-Class Hours = 135 Total Student Learning Hours 3 Units: 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  Course is designed for motivated biology students who wish to explore and develop an independent project in the biological science. Students will engage in inquiry, learn new techniques, and read material associated with project. Student and instructor must reach agreement concerning the unit of study and the scope of the project before the student can register for class. Course may be repeated subject to the enrollment limitations in the Columbia College catalog. In addition, project subject must differ with each enrollment. Not repeatable.",BIO,0401.00,040100,D,B,3,0.5,N,E,N,Y,,N,NULL,NULL,CBIOL,99,Y,Y,Y,2,CBIOL-99,,
CCC000504967,BUSAD121,BUSAD,121,Adobe Acrobat Essentials,"BUSAD 121 - Adobe Acrobat Essentials,	2 units 18 Lecture Hours, 54 Laboratory Hours, 36 Out-of-Class Hours = 108 Total Student Learning Hours  Designed for those who need to convert various file formats to the universally accepted PDF file format and work with Acrobat Standard or Professional in the creation, editing, packaging and management processes of PDF files. Students will also learn creation of Adobe forms and working with their interactive features. Not repeatable.",BUAD,0501.00,050100,D,C,2,2,N,C,N,Y,,N,NULL,NULL,CBUSAD,121,Y,Y,Y,1,CBUSAD-121,,
CCC000594694,BUSAD135,BUSAD,135,Computerized Accounting (QuickBooks),"BUSAD 135 - Computerized Accounting (QuickBooks), 2 units Recommended for Success: BUSAD 161A 36 Lecture Hours, 72 Out-of-Class Hours = 108 Total Student Learning Hours  Provides the student opportunities to set up and maintain a computerized accounting system using QuickBooks application software. Review of financial accounting in working with payables, receivables, banking transactions, company transactions and the financial statements. Not repeatable.",BUAD,0502.00,050200,D,C,2,2,N,C,N,Y,,N,NULL,NULL,CBUSAD,135,Y,Y,Y,1,CBUSAD-135,,
CCC000597302,BUSAD155,BUSAD,155,Computerized Accounting for Business,"BUSAD 155 - Computerized Accounting for Business, 4 units Recommended for Success: BUSAD 2A or BUSAD 161A 54 Lecture Hours, 54 Laboratory Hours, 108 Out-of-Class Hours = 216 Total Student Learning Hours  Provides students with an opportunity to set up and maintain an accounting system utilizing QuickBooks and Peachtree accounting programs to focus on concepts and best practices. Hands-on experience in the software will help students learn the computerized methods of financial accounting; including sales, accounts receivable, accounts payable, inventory, adjusting entries, closing entries, financial statements, sales tax and budget analysis. Not repeatable.",BUAD,0502.00,050200,D,C,4,4,N,B,N,Y,,N,NULL,NULL,CBUSAD,155,Y,Y,Y,1,CBUSAD-155,,
CCC000594696,BUSAD158,BUSAD,158,Payroll Accounting,"BUSAD 158 - Payroll Accounting, 3 units 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  Introduction and practice in all payroll operations, the preparation of payroll registers, recording of payroll transactions, understanding of payroll laws, and preparation of required tax returns and reports. Not repeatable.",BUAD,0502.00,050200,D,C,3,3,N,C,N,Y,,N,NULL,NULL,CBUSAD,158,Y,Y,Y,1,CBUSAD-158,,
CCC000594697,BUSAD161A,BUSAD,161A,Small Business Accounting I,"BUSAD 161A - Small Business Accounting I, 4 units 72 Lecture Hours, 144 Out-of-Class Hours = 216 Total Student Learning Hours  Accounting procedures and analysis for most small businesses. Includes complete double entry accounting system with journals, ledgers, worksheets, and financial statements, with adjusting and closing entries for service or merchandising businesses; payroll for employees and employers, a voucher system and use of manual simulations. Not repeatable.",BUAD,0502.00,050200,D,C,4,4,N,C,N,Y,,N,NULL,NULL,CBUSAD,161A,Y,Y,Y,1,CBUSAD-161A,,
CCC000594698,BUSAD161B,BUSAD,161B,Small Business Accounting II,"BUSAD 161B - Small Business Accounting II,	 4 units Prerequisite(s): BUSAD 161A 72 Lecture Hours, 144 Out-of-Class Hours = 216 Total Student Learning Hours  Extension of the techniques learned in BUSAD 161A with more in-depth treatment of receivables, notes, inventory and depreciation, and with the introduction of partnership and corporation accounting, statements of cash flow and financial analysis; also an introduction to managerial accounting for decision making, departmentalized, cost and manufacturing systems, planning and budgeting used in both financial and managerial phases. Not repeatable. Transfer:",BUAD,0502.00,050200,D,C,4,4,N,C,N,Y,,N,NULL,NULL,CBUSAD,161B,Y,Y,Y,1,CBUSAD-161B,,
CCC000561906,BUSAD163,BUSAD,163,Business Mathematics,"BUSAD 163 - Business Mathematics, 3 units 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  After review of mathematical processes, students will apply math skills in business situations that include banking, credit cards, discounts, retailing, payroll, interest, compounding, present value, annuities, sinking funds, revolving credit, home mortgages, financial analysis and ratio interpretation, depreciation, inventory, taxes, insurance, stocks, bonds, business statistics. Not repeatable.",BUAD,0501.00,050100,D,C,3,3,N,C,N,Y,,N,NULL,NULL,CBUSAD,163,Y,Y,Y,1,CBUSAD-163,,
CCC000594699,BUSAD164,BUSAD,164,Income Tax,"BUSAD 164 - Income Tax, 2 units 27 Lecture Hours, 27 Laboratory Hours, 54 Out-of-Class Hours = 108 Total Student Learning Hours  Instruction on income tax preparation and reporting based on the current requirements of the U.S. Internal Revenue Code and the California State Tax Code for individuals and Small Business filers. Successful completion of the course leads to VITA (Volunteer Income Tax Assistance) Certification. Not repeatable.",BUAD,0502.10,050210,D,C,2,2,N,B,N,Y,,N,NULL,NULL,CBUSAD,164,Y,Y,Y,1,CBUSAD-164,,
CCC000561808,BUSAD18,BUSAD,18,Business Law,"BUSAD 18 - Business Law,	3 units 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Laws and regulations affecting managerial decisions; legal concepts and case analyses in the areas of ethics, employment, agency, consumer transactions, business torts and crimes, business organizations, and with special emphasis on contracts. Not repeatable. MJC equivalent: (BUSAD 218) Transfer: (CSU/UC) C-ID: (BUS 125)",BUAD,0501.00,050100,D,A,3,3,N,C,N,Y,,N,BUS 125,NULL,CBUSAD,18,Y,Y,Y,1,CBUSAD-18,,
CCC000282361,BUSAD20,BUSAD,20,Principles of Business,"BUSAD 20 - Principles of Business,	3 units 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  Survey of business principles, problems and procedures; ownership; recruitment and training of personnel; labor-management relations; production and distribution of goods; competition; profit; transportation; finance; managerial controls; government and business relations. Not repeatable. MJC equivalent: (BUSAD 248) Transfer:(CSU/UC) C-ID: (BUS 110)",BUAD,0501.00,050100,D,A,3,3,N,C,N,Y,,N,BUS 110,NULL,CBUSAD,20,Y,Y,Y,1,CBUSAD-20,,
CCC000264003,BUSAD24,BUSAD,24,Human Relations in Organizations,"BUSAD 24 - Human Relations in Organizations, 3 units 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  People and their roles in organizations. The nature of organizational relationships; working in groups, recognizing and solving human relations problems. Creating the win-win situation of satisfying individual and organizational objectives. Not repeatable. Transfer: (CSU)",BUAD,0501.00,050100,D,B,3,3,N,C,N,Y,,N,NULL,NULL,CBUSAD,24,Y,Y,Y,1,CBUSAD-24,,
CCC000587514,BUSAD25,BUSAD,25,Job Search and Interviewing Strategies,"BUSAD 25/GUIDE 25 - Job Search and Interviewing Strategies,	1 unit 18 Lecture Hours, 36 Out-of-Class Hours = 54 Total Student Learning Hours  Understanding the employment process and development of written and oral presentation skills necessary to conduct an efficient and effective job search. Topics include: the hiring process, employer perspectives, the hidden job market, networking, research, job search planning, making employer contacts and interviewing. Development of a master application, resume and letter of application. Credit may be earned for only one of the following: BUSAD 25 or GUIDE 25. Not repeatable. MJC equivalent: (GUIDE 112) Transfer: (CSU)",BUAD,4930.10,493010,D,B,1,1,N,E,N,Y,,N,NULL,NULL,CBUSAD,25,Y,Y,Y,2,CBUSAD-25,,
CCC000117007,BUSAD29,BUSAD,29,Project Management,"BUSAD 29/CCTIS 29 - Project Management, 3 units Recommended for Success: CCTIS 10 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  This course is designed to familiarize individuals with current and emerging project management technologies using the Internet, project management software and other application software packages as needed for project completion. Project management knowledge topics will include project integration, scope, time, cost, quality human resource, communications, risk and procurement management. Credit may be earned for only one of the following: BUSAD 29 or CCTIS 29. Not repeatable. Transfer: (CSU)",BUAD,0501.00,050100,D,B,3,3,N,C,N,Y,,N,NULL,NULL,CBUSAD,29,Y,Y,Y,1,CBUSAD-29,,
CCC000511258,BUSAD2A,BUSAD,2A,Financial Accounting,"BUSAD 2A - Financial Accounting, 4 units Recommended for Success: CCTIS 30 72 Lecture Hours, 144 Out-of-Class Hours = 216 Total Student Learning Hours  Provides Business Administration and Accounting majors an opportunity to develop a working knowledge of accounting information systems used in recording and reporting business transactions for service and merchandising businesses under corporation entities. Special focus is on the accounting cycle, financial statements, analysis and generally accepted accounting principles, including internal control and ethical issues. Students will work with asset, liability and equity valuation, revenue and expenditure recognition, cash flow calculations and appropriate computer applications. Not repeatable. MJC equivalent: (BUSAD 201) Transfer: (CSU/UC) C-ID: (ACCT 110)",BUAD,0501.00,050100,D,A,4,4,N,B,N,Y,,N,ACCT 110,NULL,CBUSAD,2A,Y,Y,Y,1,CBUSAD-2A,,
CCC000511259,BUSAD2B,BUSAD,2B,Managerial Accounting,"BUSAD 2B - Managerial Accounting, 4 units Prerequisite(s): BUSAD 2A 72 Lecture Hours, 144 Out-of-Class Hours = 216 Total Student Learning Hours  Provides Business Administration and Accounting majors an opportunity to develop a working knowledge of techniques used for decision making, planning, directing, and controlling manufacturing operations. Particular focus is on costing methods, cost-volume-profit issues, incremental analysis and pricing. Students will work with standard cost, budgets, and control responsibility including capital investments and cash flow analysis. Not repeatable. MJC equivalent: (BUSAD 202) Transfer: (CSU/UC) C-ID: (ACCT 120)",BUAD,0501.00,050100,D,A,4,4,N,B,N,Y,,N,ACCT 120,NULL,CBUSAD,2B,Y,Y,Y,1,CBUSAD-2B,,
CCC000324059,BUSAD30,BUSAD,30,Principles of Marketing,"BUSAD 30 - Principles of Marketing,	3 units 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  Marketing principles, policies, and functions, price policies and controls, trade channels, merchandising, market research, advertising, and competitive practices. Not repeatable. MJC equivalent: (BUSAD 245) Transfer: (CSU)",BUAD,0501.00,050100,D,B,3,3,N,C,N,Y,,N,NULL,NULL,CBUSAD,30,Y,Y,Y,1,CBUSAD-30,,
CCC000190632,BUSAD40,BUSAD,40,Principles of Management,"BUSAD 40 - Principles of Management, 3 units 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  The functions of management, techniques of decision making and problem solving, methods used by the manager to achieve organizational goals, various theories of management, lines of authority, functions of departments, and the importance of policies, procedures and controls. Not repeatable. Transfer: (CSU)",BUAD,0501.00,050100,D,B,3,3,N,C,N,Y,,N,NULL,NULL,CBUSAD,40,Y,Y,Y,1,CBUSAD-40,,
CCC000317799,BUSAD41,BUSAD,41,Small Business Management,"BUSAD 41 - Small Business Management,	3 units 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  Small business operation with proper balance between business functions of purchasing, production, sales and finance, and the management functions of planning, organizing, actuating, and controlling. Not repeatable. Transfer: (CSU)",BUAD,0501.00,050100,D,B,3,3,N,C,N,Y,,N,NULL,NULL,CBUSAD,41,Y,Y,Y,1,CBUSAD-41,,
CCC000185095,BUSAD97,BUSAD,97,Work Experience in Business and Commerce,"BUSAD 97 - Work Experience in Business and Commerce, 1 to 4 units  1 Unit:  60 Unpaid Hours, 75 Paid Hours 2 Units: 120 Unpaid Hours, 150 Paid Hours 3 Units: 180 Unpaid Hours, 225 Paid Hours 4 Units: 240 Unpaid Hours, 300 Paid Hours  75 hours paid employment equals 1 unit of credit. 60 hours unpaid employment equals 1 unit of credit.  Provides students an opportunity to experience supervised employment in a variety of occupational settings within Business and Commerce (e.g., Business Administration, Hospitality Management, Computer Science). The student's employment must be related to educational or occupational goal. May be repeated for no more than a total of 16 units of credit less any units earned in any other Work Experience course. Grading: (P/NP Only) Transfer: CSU (Transfer credit limited. See a counselor.)",BUAD,0501.00,050100,D,B,4,1,N,C,C,Y,,N,NULL,NULL,CBUSAD,97,Y,Y,Y,2,CBUSAD-97,,
CCC000553764,CCTDM10,CCTDM,10,Introduction to HTML and CSS,"CCTDM 10 - Introduction to HTML and CSS, 3 units Formerly listed as: CMPSC 13 - Introduction to HTML and CSS Recommended for Success: CCTIS 4 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  Use HTML and CSS software authoring tools to prepare multimedia presentations to use with an Internet browser. Combine text, graphics, video, and sound. Enhance computer displays for an audience and prepare home page links for access over the Internet. Not repeatable. Transfer: (CSU)",CMPT,0701.00,070100,D,B,3,3,N,C,N,Y,,N,NULL,NULL,CCCTDM,10,Y,Y,Y,1,CCCTDM-10,,
CCC000574093,CCTDM12,CCTDM,12,Website Development Applications,"CCTDM 12 - Website Development Applications, 3 units Formerly listed as: CMPSC 12 - Website Development Applications Recommended for Success: CCTIS 4 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  Students will be able to use website/webpage development application software to prepare multimedia presentations for use with an Internet browser. They will also be able to combine text, graphics, video, and sound, enhance computer displays for an audience, and prepare home page links for access over the Internet. Not repeatable. MJC equivalent: (CSCI 250) Transfer: (CSU)",CMPT,0614.30,061430,D,B,3,3,N,C,N,Y,,N,NULL,NULL,CCCTDM,12,Y,Y,Y,2,CCCTDM-12,,
CCC000596122,CCTDM14,CCTDM,14,Advanced Topics in Website Development,"CCTDM 14 - Advanced Topics in Website Development, 3 units Formerly listed as: CMPSC 14 - Advanced Topics in Website Development Recommended for Success: CCTDM 10 3 Units: 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  This course guides students through the process of exploring advanced tools for website design, which may include, but are not limited to Javascript, ASP, PHP, HTML and CSS. Students will also attain skills in techniques for publicizing websites and best practices for site maintenance. Not repeatable. Transfer: (CSU)",CMPT,0614.30,061430,D,B,3,3,N,C,N,Y,,N,NULL,NULL,CCCTDM,14,Y,Y,Y,2,CCCTDM-14,,
CCC000552731,CCTDM28,CCTDM,28,Video Production I,"CCTDM 28 - Video Production I, 2 units 18 Lecture Hours, 54 Laboratory Hours, 36 Out-of-Class Hours = 108 Total Student Learning Hours  Introduces the student to the basic computer video production stages. Students will learn the process of creating digital video productions. This course is a project-based course. Students will be required to work in groups on approved class-related and school event projects. Not repeatable. Transfer: (CSU) C-ID: (CCTDM 28 + CCTDM 29 = C-ID FTVE 130)",CMPT,0701.00,070100,D,B,2,2,N,C,N,Y,,N,NULL,NULL,CCCTDM,28,Y,Y,Y,1,CCCTDM-28,,
CCC000504969,CCTDM29,CCTDM,29,Video Production II,"CCTDM 29 - Video Production II, 2 units Prerequisite(s): CCTDM 28 18 Lecture Hours, 54 Laboratory Hours, 36 Out-of-Class Hours = 108 Total Student Learning Hours  This course is a continuation of CCTDM 28. Includes video production using the three-stage process. Students will learn the process of creating digital video productions using expanded techniques in video shooting, lighting, audio, editing, and authoring. This course is a project-based course. Students may be required to work in groups on approved class-related and/or school event projects. Not repeatable. Transfer: (CSU) C-ID: (CCTDM 28 + CCTDM 29 = FTVE 130)",CMPT,0701.00,070100,D,B,2,2,N,B,N,Y,,N,NULL,NULL,CCCTDM,29,Y,Y,Y,1,CCCTDM-29,,
CCC000574649,CCTDM40,CCTDM,40,Computer Graphics and Animation,"CCTDM 40 - Computer Graphics and Animation,  3 units Recommended for Success: CCTDM 12, CCTDM 14, CCTDM 53 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Computer Graphics and Animation introduces the student to an interactive media application for creating vector graphics, animation, and interactive multimedia for web pages and other digital media. The course will also cover basic action scripting integration. Not repeatable. MJC equivalent: (CMPGR 268) Transfer: (CSU/UC)",CMPT,0701.00,070100,D,A,3,3,N,D,N,Y,,N,NULL,NULL,CCCTDM,40,Y,Y,Y,1,CCCTDM-40,,
CCC000561891,CCTDM41,CCTDM,41,Compositing for Motion Graphics,"CCTDM 41 - Compositing for Motion Graphics,  3 units Recommended for Success: CCTDM 28, or CCTDM 40, or CCTDM 53, or CCTDM 50 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  This Course introduces software and techniques designed to provide a comprehensive set of 2D and 3D tools for compositing, animation, and effects for motion-graphics, visual effects, web design, film and video. Not repeatable. Transfer: (CSU/UC)",CMPT,0614.00,061400,D,A,3,3,N,C,N,Y,,N,NULL,NULL,CCCTDM,41,Y,Y,Y,2,CCCTDM-41,,
CCC000531643,CCTDM45,CCTDM,45,Digital 3D Modeling and Animation,"CCTDM 45 - Digital 3D Modeling and Animation, 3 units Formerly listed as: CMPSC 35 - Digital 3D Modeling and Animation Recommended for Success: CCTDM 40 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  This course introduces digital 3D modeling and animation. Students will explore 3D modeling software, digital modeling techniques, and animation. CCTDM 45 is intended to train students who are pursuing 3D computer-driven animation in preparation for additional study in digital animation, game design and Multimedia. The course uses industry standard, state-of-the-art, high-end computer-driven animation software which is upgraded as industry changes. Not repeatable. Transfer: (CSU)",CMPT,0614.00,061400,D,B,3,3,N,C,N,Y,,N,NULL,NULL,CCCTDM,45,Y,Y,Y,1,CCCTDM-45,,
CCC000594834,CCTDM5,CCTDM,5,Introduction to Digital Multimedia,"CCTDM 5 - Introduction to Digital Multimedia, 3 units Formerly listed as: CMPSC 36 - Introduction to Digital Multimedia 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  An introduction to the various elements that comprise the multimedia development environment. This includes hardware and software tools for text, sound, images, animation, video, multimedia authoring, and multimedia tools for the Web. Not repeatable. Transfer: (CSU)",CMPT,0614.00,061400,D,B,3,3,N,D,N,Y,,N,NULL,NULL,CCCTDM,5,Y,Y,Y,1,CCCTDM-5,,
CCC000536121,CCTDM50,CCTDM,50,Photo Editing for Digital and Print Publication,"CCTDM 50 - Photo Editing for Digital and Print Publication,	3 units 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Materials fee required  This course focuses on the principles and practices of photo editing, artistic expression, and development of problem-solving skills, using an industry standard photo editing software program. Included is a survey of the tools and techniques used to create effective and sophisticated digital imagery for websites, multimedia and print publications. Additionally, the course will integrate the use of tablets and cloud technology as they pertain to photo editing. Not repeatable. Transfer: (CSU)",CMPT,0701.00,070100,D,B,3,3,N,C,N,Y,,N,NULL,NULL,CCCTDM,50,Y,Y,Y,1,CCCTDM-50,,
CCC000594835,CCTDM51,CCTDM,51,Publication Design I,"CCTDM 51/ART 51 - Publication Design I, 3 units 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Materials fee required  An introduction to general publication design theory with emphasis on typography, page layout, graphics, and design. Students will create media for print and digital publishing. Exercises and projects will include the creation of a multi-page booklet, poster, newsletter, brochures and an interactive document formatted for digital publishing. Credit may be earned for only one of the following: CCDTM 51 or ART 51. Not repeatable. Transfer: (CSU)",CMPT,0614.50,061450,D,B,3,3,N,C,N,Y,,N,NULL,NULL,CCCTDM,51,Y,Y,Y,1,CCCTDM-51,,
CCC000373988,CCTDM53,CCTDM,53,Computer Graphics I,"CCTDM 53/ART 53 - Computer Graphics I, 3 units 36 Lecture, 54 Laboratory, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Materials fee required.  This course introduces the student to the fundamentals of computer graphics. Topics include the elements and principles of design, concept development, characteristics of vector and raster digital files, color modes, digital drawing and painting, and formatting for print and the Web. Students will acquire basic skills in current digital illustration software and create original design pieces. Credit may be earned for only one of the following: CCTDM 53 or ART 53. Not repeatable. Transfer:(CSU/UC) C-ID (ARTS 250)",CMPT,0614.00,061400,D,A,3,3,N,C,N,Y,,N,ARTS 250,NULL,CCCTDM,53,Y,Y,Y,1,CCCTDM-53,,
CCC000369982,CCTDM54,CCTDM,54,Computer Graphics II,"CCTDM 54/ART 54 - Computer Graphics II,	3 units Prerequisite(s): CCTDM 53 or ART 53 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Materials fee required  Computer Graphics topics covered will include concept development, analog drawing, scanning, advanced techniques of painting and drawing software, critiquing, and publishing. Credit may be earned for only one of the following: CCTDM 54 or ART 54. Not repeatable. Transfer: (CSU/UC)",CMPT,0614.00,061400,D,A,3,3,N,B,N,Y,,N,NULL,NULL,CCCTDM,54,Y,Y,Y,2,CCCTDM-54,,
